X Y  Index
2.2 0.1 :123
2.3 0.1 :124
2.4 0.1 :125
2.5 0.1 :126
2.6 0.1 :127
2.7 0.1 :128
2.8 0.1 :129
2.9 0.1 :130
3 0.1 :131
3.1 0.1 :132
3.2 0.1 :133
3.3 0.1 :134
3.4 0.1 :135
3.5 0.1 :136
3.6 0.1 :137
3.7 0.1 :138
3.8 0.1 :139
3.9 0.1 :140
4 0.1 :141
4.1 0.1 :142
4.2 0.1 :143
4.3 0.1 :144
4.4 0.1 :145
4.5 0.1 :146
4.6 0.1 :147
4.7 0.1 :148
4.8 0.1 :149
4.9 0.1 :150
5 0.1 :151
5.1 0.1 :152
5.2 0.1 :153
5.3 0.1 :154
5.4 0.1 :155
5.5 0.1 :156
5.6 0.1 :157
5.7 0.1 :158
5.8 0.1 :159
5.9 0.1 :160
6 0.1 :161
6.1 0.1 :162
6.2 0.1 :163
6.3 0.1 :164
6.4 0.1 :165
6.5 0.1 :166
6.6 0.1 :167
6.7 0.1 :168
6.8 0.1 :169
6.9 0.1 :170
7 0.1 :171
7.1 0.1 :172
7.2 0.1 :173
7.3 0.1 :174
7.4 0.1 :175
7.5 0.1 :176
7.6 0.1 :177
7.7 0.1 :178
7.8 0.1 :179
7.9 0.1 :180
8 0.1 :181
8.1 0.1 :182
8.2 0.1 :183
8.3 0.1 :184
8.4 0.1 :185
8.5 0.1 :186
8.6 0.1 :187
8.7 0.1 :188
8.8 0.1 :189
8.9 0.1 :190
9 0.1 :191
9.1 0.1 :192
9.2 0.1 :193
9.3 0.1 :194
9.4 0.1 :195
9.5 0.1 :196
9.6 0.1 :197
9.7 0.1 :198
9.8 0.1 :199
9.9 0.1 :200
10 0.1 :201
X Y  Index
---------------------------------------------------
0 0.2 :202
0.1 0.2 :203
0.2 0.2 :204
0.3 0.2 :205
0.4 0.2 :206
0.5 0.2 :207
0.6 0.2 :208
0.7 0.2 :209
0.8 0.2 :210
0.9 0.2 :211
1 0.2 :212
1.1 0.2 :213
1.2 0.2 :214
1.3 0.2 :215
1.4 0.2 :216
1.5 0.2 :217
1.6 0.2 :218
1.7 0.2 :219
1.8 0.2 :220
1.9 0.2 :221
2 0.2 :222
2.1 0.2 :223
2.2 0.2 :224
2.3 0.2 :225
2.4 0.2 :226
2.5 0.2 :227
2.6 0.2 :228
2.7 0.2 :229
2.8 0.2 :230
2.9 0.2 :231
3 0.2 :232
3.1 0.2 :233
3.2 0.2 :234
3.3 0.2 :235
3.4 0.2 :236
3.5 0.2 :237
3.6 0.2 :238
3.7 0.2 :239
3.8 0.2 :240
3.9 0.2 :241
4 0.2 :242
4.1 0.2 :243
4.2 0.2 :244
4.3 0.2 :245
4.4 0.2 :246
4.5 0.2 :247
4.6 0.2 :248
4.7 0.2 :249
4.8 0.2 :250
4.9 0.2 :251
5 0.2 :252
5.1 0.2 :253
5.2 0.2 :254
5.3 0.2 :255
5.4 0.2 :256
5.5 0.2 :257
5.6 0.2 :258
5.7 0.2 :259
5.8 0.2 :260
5.9 0.2 :261
6 0.2 :262
6.1 0.2 :263
6.2 0.2 :264
6.3 0.2 :265
6.4 0.2 :266
6.5 0.2 :267
6.6 0.2 :268
6.7 0.2 :269
6.8 0.2 :270
6.9 0.2 :271
7 0.2 :272
7.1 0.2 :273
7.2 0.2 :274
7.3 0.2 :275
7.4 0.2 :276
7.5 0.2 :277
7.6 0.2 :278
7.7 0.2 :279
7.8 0.2 :280
7.9 0.2 :281
8 0.2 :282
8.1 0.2 :283
8.2 0.2 :284
8.3 0.2 :285
8.4 0.2 :286
8.5 0.2 :287
8.6 0.2 :288
8.7 0.2 :289
8.8 0.2 :290
8.9 0.2 :291
9 0.2 :292
9.1 0.2 :293
9.2 0.2 :294
9.3 0.2 :295
9.4 0.2 :296
9.5 0.2 :297
9.6 0.2 :298
9.7 0.2 :299
9.8 0.2 :300
9.9 0.2 :301
10 0.2 :302
X Y  Index
---------------------------------------------------
0 0.3 :303
0.1 0.3 :304
0.2 0.3 :305
0.3 0.3 :306
0.4 0.3 :307
0.5 0.3 :308
0.6 0.3 :309
0.7 0.3 :310
0.8 0.3 :311
0.9 0.3 :312
1 0.3 :313
1.1 0.3 :314
1.2 0.3 :315
1.3 0.3 :316
1.4 0.3 :317
1.5 0.3 :318
1.6 0.3 :319
1.7 0.3 :320
1.8 0.3 :321
1.9 0.3 :322
2 0.3 :323
2.1 0.3 :324
2.2 0.3 :325
2.3 0.3 :326
2.4 0.3 :327
2.5 0.3 :328
2.6 0.3 :329
2.7 0.3 :330
2.8 0.3 :331
2.9 0.3 :332
3 0.3 :333
3.1 0.3 :334
3.2 0.3 :335
3.3 0.3 :336
3.4 0.3 :337
3.5 0.3 :338
3.6 0.3 :339
3.7 0.3 :340
3.8 0.3 :341
3.9 0.3 :342
4 0.3 :343
4.1 0.3 :344
4.2 0.3 :345
4.3 0.3 :346
4.4 0.3 :347
4.5 0.3 :348
4.6 0.3 :349
4.7 0.3 :350
4.8 0.3 :351
4.9 0.3 :352
5 0.3 :353
5.1 0.3 :354
5.2 0.3 :355
5.3 0.3 :356
5.4 0.3 :357
5.5 0.3 :358
5.6 0.3 :359
5.7 0.3 :360
5.8 0.3 :361
5.9 0.3 :362
6 0.3 :363
6.1 0.3 :364
6.2 0.3 :365
6.3 0.3 :366
6.4 0.3 :367
6.5 0.3 :368
6.6 0.3 :369
6.7 0.3 :370
6.8 0.3 :371
6.9 0.3 :372
7 0.3 :373
7.1 0.3 :374
7.2 0.3 :375
7.3 0.3 :376
7.4 0.3 :377
7.5 0.3 :378
7.6 0.3 :379
7.7 0.3 :380
7.8 0.3 :381
7.9 0.3 :382
8 0.3 :383
8.1 0.3 :384
8.2 0.3 :385
8.3 0.3 :386
8.4 0.3 :387
8.5 0.3 :388
8.6 0.3 :389
8.7 0.3 :390
8.8 0.3 :391
8.9 0.3 :392
9 0.3 :393
9.1 0.3 :394
9.2 0.3 :395
9.3 0.3 :396
9.4 0.3 :397
9.5 0.3 :398
9.6 0.3 :399
9.7 0.3 :400
9.8 0.3 :401
9.9 0.3 :402
10 0.3 :403
X Y  Index
---------------------------------------------------
0 0.4 :404
0.1 0.4 :405
0.2 0.4 :406
0.3 0.4 :407
0.4 0.4 :408
0.5 0.4 :409
0.6 0.4 :410
0.7 0.4 :411
0.8 0.4 :412
0.9 0.4 :413
1 0.4 :414
1.1 0.4 :415
1.2 0.4 :416
1.3 0.4 :417
1.4 0.4 :418
1.5 0.4 :419
1.6 0.4 :420
1.7 0.4 :421
1.8 0.4 :422
1.9 0.4 :423
2 0.4 :424
2.1 0.4 :425
2.2 0.4 :426
2.3 0.4 :427
2.4 0.4 :428
2.5 0.4 :429
2.6 0.4 :430
2.7 0.4 :431
2.8 0.4 :432
2.9 0.4 :433
3 0.4 :434
3.1 0.4 :435
3.2 0.4 :436
3.3 0.4 :437
3.4 0.4 :438
3.5 0.4 :439
3.6 0.4 :440
3.7 0.4 :441
3.8 0.4 :442
3.9 0.4 :443
4 0.4 :444
4.1 0.4 :445
4.2 0.4 :446
4.3 0.4 :447
4.4 0.4 :448
4.5 0.4 :449
4.6 0.4 :450
4.7 0.4 :451
4.8 0.4 :452
4.9 0.4 :453
5 0.4 :454
5.1 0.4 :455
5.2 0.4 :456
5.3 0.4 :457
5.4 0.4 :458
5.5 0.4 :459
5.6 0.4 :460
5.7 0.4 :461
5.8 0.4 :462
5.9 0.4 :463
6 0.4 :464
6.1 0.4 :465
6.2 0.4 :466
6.3 0.4 :467
6.4 0.4 :468
6.5 0.4 :469
6.6 0.4 :470
6.7 0.4 :471
6.8 0.4 :472
6.9 0.4 :473
7 0.4 :474
7.1 0.4 :475
7.2 0.4 :476
7.3 0.4 :477
7.4 0.4 :478
7.5 0.4 :479
7.6 0.4 :480
7.7 0.4 :481
7.8 0.4 :482
7.9 0.4 :483
8 0.4 :484
8.1 0.4 :485
8.2 0.4 :486
8.3 0.4 :487
8.4 0.4 :488
8.5 0.4 :489
8.6 0.4 :490
8.7 0.4 :491
8.8 0.4 :492
8.9 0.4 :493
9 0.4 :494
9.1 0.4 :495
9.2 0.4 :496
9.3 0.4 :497
9.4 0.4 :498
9.5 0.4 :499
9.6 0.4 :500
9.7 0.4 :501
9.8 0.4 :502
9.9 0.4 :503
10 0.4 :504
X Y  Index
---------------------------------------------------
0 0.5 :505
0.1 0.5 :506
0.2 0.5 :507
0.3 0.5 :508
0.4 0.5 :509
0.5 0.5 :510
0.6 0.5 :511
0.7 0.5 :512
0.8 0.5 :513
0.9 0.5 :514
1 0.5 :515
1.1 0.5 :516
1.2 0.5 :517
1.3 0.5 :518
1.4 0.5 :519
1.5 0.5 :520
1.6 0.5 :521
1.7 0.5 :522
1.8 0.5 :523
1.9 0.5 :524
2 0.5 :525
2.1 0.5 :526
2.2 0.5 :527
2.3 0.5 :528
2.4 0.5 :529
2.5 0.5 :530
2.6 0.5 :531
2.7 0.5 :532
2.8 0.5 :533
2.9 0.5 :534
3 0.5 :535
3.1 0.5 :536
3.2 0.5 :537
3.3 0.5 :538
3.4 0.5 :539
3.5 0.5 :540
3.6 0.5 :541
3.7 0.5 :542
3.8 0.5 :543
3.9 0.5 :544
4 0.5 :545
4.1 0.5 :546
4.2 0.5 :547
4.3 0.5 :548
4.4 0.5 :549
4.5 0.5 :550
4.6 0.5 :551
4.7 0.5 :552
4.8 0.5 :553
4.9 0.5 :554
5 0.5 :555
5.1 0.5 :556
5.2 0.5 :557
5.3 0.5 :558
5.4 0.5 :559
5.5 0.5 :560
5.6 0.5 :561
5.7 0.5 :562
5.8 0.5 :563
5.9 0.5 :564
6 0.5 :565
6.1 0.5 :566
6.2 0.5 :567
6.3 0.5 :568
6.4 0.5 :569
6.5 0.5 :570
6.6 0.5 :571
6.7 0.5 :572
6.8 0.5 :573
6.9 0.5 :574
7 0.5 :575
7.1 0.5 :576
7.2 0.5 :577
7.3 0.5 :578
7.4 0.5 :579
7.5 0.5 :580
7.6 0.5 :581
7.7 0.5 :582
7.8 0.5 :583
7.9 0.5 :584
8 0.5 :585
8.1 0.5 :586
8.2 0.5 :587
8.3 0.5 :588
8.4 0.5 :589
8.5 0.5 :590
8.6 0.5 :591
8.7 0.5 :592
8.8 0.5 :593
8.9 0.5 :594
9 0.5 :595
9.1 0.5 :596
9.2 0.5 :597
9.3 0.5 :598
9.4 0.5 :599
9.5 0.5 :600
9.6 0.5 :601
9.7 0.5 :602
9.8 0.5 :603
9.9 0.5 :604
10 0.5 :605
X Y  Index
---------------------------------------------------
0 0.6 :606
0.1 0.6 :607
0.2 0.6 :608
0.3 0.6 :609
0.4 0.6 :610
0.5 0.6 :611
0.6 0.6 :612
0.7 0.6 :613
0.8 0.6 :614
0.9 0.6 :615
1 0.6 :616
1.1 0.6 :617
1.2 0.6 :618
1.3 0.6 :619
1.4 0.6 :620
1.5 0.6 :621
1.6 0.6 :622
1.7 0.6 :623
1.8 0.6 :624
1.9 0.6 :625
2 0.6 :626
2.1 0.6 :627
2.2 0.6 :628
2.3 0.6 :629
2.4 0.6 :630
2.5 0.6 :631
2.6 0.6 :632
2.7 0.6 :633
2.8 0.6 :634
2.9 0.6 :635
3 0.6 :636
3.1 0.6 :637
3.2 0.6 :638
3.3 0.6 :639
3.4 0.6 :640
3.5 0.6 :641
3.6 0.6 :642
3.7 0.6 :643
3.8 0.6 :644
3.9 0.6 :645
4 0.6 :646
4.1 0.6 :647
4.2 0.6 :648
4.3 0.6 :649
4.4 0.6 :650
4.5 0.6 :651
4.6 0.6 :652
4.7 0.6 :653
4.8 0.6 :654
4.9 0.6 :655
5 0.6 :656
5.1 0.6 :657
5.2 0.6 :658
5.3 0.6 :659
5.4 0.6 :660
5.5 0.6 :661
5.6 0.6 :662
5.7 0.6 :663
5.8 0.6 :664
5.9 0.6 :665
6 0.6 :666
6.1 0.6 :667
6.2 0.6 :668
6.3 0.6 :669
6.4 0.6 :670
6.5 0.6 :671
6.6 0.6 :672
6.7 0.6 :673
6.8 0.6 :674
6.9 0.6 :675
7 0.6 :676
7.1 0.6 :677
7.2 0.6 :678
7.3 0.6 :679
7.4 0.6 :680
7.5 0.6 :681
7.6 0.6 :682
7.7 0.6 :683
7.8 0.6 :684
7.9 0.6 :685
8 0.6 :686
8.1 0.6 :687
8.2 0.6 :688
8.3 0.6 :689
8.4 0.6 :690
8.5 0.6 :691
8.6 0.6 :692
8.7 0.6 :693
8.8 0.6 :694
8.9 0.6 :695
9 0.6 :696
9.1 0.6 :697
9.2 0.6 :698
9.3 0.6 :699
9.4 0.6 :700
9.5 0.6 :701
9.6 0.6 :702
9.7 0.6 :703
9.8 0.6 :704
9.9 0.6 :705
10 0.6 :706
X Y  Index
---------------------------------------------------
0 0.7 :707
0.1 0.7 :708
0.2 0.7 :709
0.3 0.7 :710
0.4 0.7 :711
0.5 0.7 :712
0.6 0.7 :713
0.7 0.7 :714
0.8 0.7 :715
0.9 0.7 :716
1 0.7 :717
1.1 0.7 :718
1.2 0.7 :719
1.3 0.7 :720
1.4 0.7 :721
1.5 0.7 :722
1.6 0.7 :723
1.7 0.7 :724
1.8 0.7 :725
1.9 0.7 :726
2 0.7 :727
2.1 0.7 :728
2.2 0.7 :729
2.3 0.7 :730
2.4 0.7 :731
2.5 0.7 :732
2.6 0.7 :733
2.7 0.7 :734
2.8 0.7 :735
2.9 0.7 :736
3 0.7 :737
3.1 0.7 :738
3.2 0.7 :739
3.3 0.7 :740
3.4 0.7 :741
3.5 0.7 :742
3.6 0.7 :743
3.7 0.7 :744
3.8 0.7 :745
3.9 0.7 :746
4 0.7 :747
4.1 0.7 :748
4.2 0.7 :749
4.3 0.7 :750
4.4 0.7 :751
4.5 0.7 :752
4.6 0.7 :753
4.7 0.7 :754
4.8 0.7 :755
4.9 0.7 :756
5 0.7 :757
5.1 0.7 :758
5.2 0.7 :759
5.3 0.7 :760
5.4 0.7 :761
5.5 0.7 :762
5.6 0.7 :763
5.7 0.7 :764
5.8 0.7 :765
5.9 0.7 :766
6 0.7 :767
6.1 0.7 :768
6.2 0.7 :769
6.3 0.7 :770
6.4 0.7 :771
6.5 0.7 :772
6.6 0.7 :773
6.7 0.7 :774
6.8 0.7 :775
6.9 0.7 :776
7 0.7 :777
7.1 0.7 :778
7.2 0.7 :779
7.3 0.7 :780
7.4 0.7 :781
7.5 0.7 :782
7.6 0.7 :783
7.7 0.7 :784
7.8 0.7 :785
7.9 0.7 :786
8 0.7 :787
8.1 0.7 :788
8.2 0.7 :789
8.3 0.7 :790
8.4 0.7 :791
8.5 0.7 :792
8.6 0.7 :793
8.7 0.7 :794
8.8 0.7 :795
8.9 0.7 :796
9 0.7 :797
9.1 0.7 :798
9.2 0.7 :799
9.3 0.7 :800
9.4 0.7 :801
9.5 0.7 :802
9.6 0.7 :803
9.7 0.7 :804
9.8 0.7 :805
9.9 0.7 :806
10 0.7 :807
X Y  Index
---------------------------------------------------
0 0.8 :808
0.1 0.8 :809
0.2 0.8 :810
0.3 0.8 :811
0.4 0.8 :812
0.5 0.8 :813
0.6 0.8 :814
0.7 0.8 :815
0.8 0.8 :816
0.9 0.8 :817
1 0.8 :818
1.1 0.8 :819
1.2 0.8 :820
1.3 0.8 :821
1.4 0.8 :822
1.5 0.8 :823
1.6 0.8 :824
1.7 0.8 :825
1.8 0.8 :826
1.9 0.8 :827
2 0.8 :828
2.1 0.8 :829
2.2 0.8 :830
2.3 0.8 :831
2.4 0.8 :832
2.5 0.8 :833
2.6 0.8 :834
2.7 0.8 :835
2.8 0.8 :836
2.9 0.8 :837
3 0.8 :838
3.1 0.8 :839
3.2 0.8 :840
3.3 0.8 :841
3.4 0.8 :842
3.5 0.8 :843
3.6 0.8 :844
3.7 0.8 :845
3.8 0.8 :846
3.9 0.8 :847
4 0.8 :848
4.1 0.8 :849
4.2 0.8 :850
4.3 0.8 :851
4.4 0.8 :852
4.5 0.8 :853
4.6 0.8 :854
4.7 0.8 :855
4.8 0.8 :856
4.9 0.8 :857
5 0.8 :858
5.1 0.8 :859
5.2 0.8 :860
5.3 0.8 :861
5.4 0.8 :862
5.5 0.8 :863
5.6 0.8 :864
5.7 0.8 :865
5.8 0.8 :866
5.9 0.8 :867
6 0.8 :868
6.1 0.8 :869
6.2 0.8 :870
6.3 0.8 :871
6.4 0.8 :872
6.5 0.8 :873
6.6 0.8 :874
6.7 0.8 :875
6.8 0.8 :876
6.9 0.8 :877
7 0.8 :878
7.1 0.8 :879
7.2 0.8 :880
7.3 0.8 :881
7.4 0.8 :882
7.5 0.8 :883
7.6 0.8 :884
7.7 0.8 :885
7.8 0.8 :886
7.9 0.8 :887
8 0.8 :888
8.1 0.8 :889
8.2 0.8 :890
8.3 0.8 :891
8.4 0.8 :892
8.5 0.8 :893
8.6 0.8 :894
8.7 0.8 :895
8.8 0.8 :896
8.9 0.8 :897
9 0.8 :898
9.1 0.8 :899
9.2 0.8 :900
9.3 0.8 :901
9.4 0.8 :902
9.5 0.8 :903
9.6 0.8 :904
9.7 0.8 :905
9.8 0.8 :906
9.9 0.8 :907
10 0.8 :908
X Y  Index
---------------------------------------------------
0 0.9 :909
0.1 0.9 :910
0.2 0.9 :911
0.3 0.9 :912
0.4 0.9 :913
0.5 0.9 :914
0.6 0.9 :915
0.7 0.9 :916
0.8 0.9 :917
0.9 0.9 :918
1 0.9 :919
1.1 0.9 :920
1.2 0.9 :921
1.3 0.9 :922
1.4 0.9 :923
1.5 0.9 :924
1.6 0.9 :925
1.7 0.9 :926
1.8 0.9 :927
1.9 0.9 :928
2 0.9 :929
2.1 0.9 :930
2.2 0.9 :931
2.3 0.9 :932
2.4 0.9 :933
2.5 0.9 :934
2.6 0.9 :935
2.7 0.9 :936
2.8 0.9 :937
2.9 0.9 :938
3 0.9 :939
3.1 0.9 :940
3.2 0.9 :941
3.3 0.9 :942
3.4 0.9 :943
3.5 0.9 :944
3.6 0.9 :945
3.7 0.9 :946
3.8 0.9 :947
3.9 0.9 :948
4 0.9 :949
4.1 0.9 :950
4.2 0.9 :951
4.3 0.9 :952
4.4 0.9 :953
4.5 0.9 :954
4.6 0.9 :955
4.7 0.9 :956
4.8 0.9 :957
4.9 0.9 :958
5 0.9 :959
5.1 0.9 :960
5.2 0.9 :961
5.3 0.9 :962
5.4 0.9 :963
5.5 0.9 :964
5.6 0.9 :965
5.7 0.9 :966
5.8 0.9 :967
5.9 0.9 :968
6 0.9 :969
6.1 0.9 :970
6.2 0.9 :971
6.3 0.9 :972
6.4 0.9 :973
6.5 0.9 :974
6.6 0.9 :975
6.7 0.9 :976
6.8 0.9 :977
6.9 0.9 :978
7 0.9 :979
7.1 0.9 :980
7.2 0.9 :981
7.3 0.9 :982
7.4 0.9 :983
7.5 0.9 :984
7.6 0.9 :985
7.7 0.9 :986
7.8 0.9 :987
7.9 0.9 :988
8 0.9 :989
8.1 0.9 :990
8.2 0.9 :991
8.3 0.9 :992
8.4 0.9 :993
8.5 0.9 :994
8.6 0.9 :995
8.7 0.9 :996
8.8 0.9 :997
8.9 0.9 :998
9 0.9 :999
9.1 0.9 :1000
9.2 0.9 :1001
9.3 0.9 :1002
9.4 0.9 :1003
9.5 0.9 :1004
9.6 0.9 :1005
9.7 0.9 :1006
9.8 0.9 :1007
9.9 0.9 :1008
10 0.9 :1009
X Y  Index
---------------------------------------------------
0 1 :1010
0.1 1 :1011
0.2 1 :1012
0.3 1 :1013
0.4 1 :1014
0.5 1 :1015
0.6 1 :1016
0.7 1 :1017
0.8 1 :1018
0.9 1 :1019
1 1 :1020
1.1 1 :1021
1.2 1 :1022
1.3 1 :1023
1.4 1 :1024
1.5 1 :1025
1.6 1 :1026
1.7 1 :1027
1.8 1 :1028
1.9 1 :1029
2 1 :1030
2.1 1 :1031
2.2 1 :1032
2.3 1 :1033
2.4 1 :1034
2.5 1 :1035
2.6 1 :1036
2.7 1 :1037
2.8 1 :1038
2.9 1 :1039
3 1 :1040
3.1 1 :1041
3.2 1 :1042
3.3 1 :1043
3.4 1 :1044
3.5 1 :1045
3.6 1 :1046
3.7 1 :1047
3.8 1 :1048
3.9 1 :1049
4 1 :1050
4.1 1 :1051
4.2 1 :1052
4.3 1 :1053
4.4 1 :1054
4.5 1 :1055
4.6 1 :1056
4.7 1 :1057
4.8 1 :1058
4.9 1 :1059
5 1 :1060
5.1 1 :1061
5.2 1 :1062
5.3 1 :1063
5.4 1 :1064
5.5 1 :1065
5.6 1 :1066
5.7 1 :1067
5.8 1 :1068
5.9 1 :1069
6 1 :1070
6.1 1 :1071
6.2 1 :1072
6.3 1 :1073
6.4 1 :1074
6.5 1 :1075
6.6 1 :1076
6.7 1 :1077
6.8 1 :1078
6.9 1 :1079
7 1 :1080
7.1 1 :1081
7.2 1 :1082
7.3 1 :1083
7.4 1 :1084
7.5 1 :1085
7.6 1 :1086
7.7 1 :1087
7.8 1 :1088
7.9 1 :1089
8 1 :1090
8.1 1 :1091
8.2 1 :1092
8.3 1 :1093
8.4 1 :1094
8.5 1 :1095
8.6 1 :1096
8.7 1 :1097
8.8 1 :1098
8.9 1 :1099
9 1 :1100
9.1 1 :1101
9.2 1 :1102
9.3 1 :1103
9.4 1 :1104
9.5 1 :1105
9.6 1 :1106
9.7 1 :1107
9.8 1 :1108
9.9 1 :1109
10 1 :1110
X Y  Index
---------------------------------------------------
0 1.1 :1111
0.1 1.1 :1112
0.2 1.1 :1113
0.3 1.1 :1114
0.4 1.1 :1115
0.5 1.1 :1116
0.6 1.1 :1117
0.7 1.1 :1118
0.8 1.1 :1119
0.9 1.1 :1120
1 1.1 :1121
1.1 1.1 :1122
1.2 1.1 :1123
1.3 1.1 :1124
1.4 1.1 :1125
1.5 1.1 :1126
1.6 1.1 :1127
1.7 1.1 :1128
1.8 1.1 :1129
1.9 1.1 :1130
2 1.1 :1131
2.1 1.1 :1132
2.2 1.1 :1133
2.3 1.1 :1134
2.4 1.1 :1135
2.5 1.1 :1136
2.6 1.1 :1137
2.7 1.1 :1138
2.8 1.1 :1139
2.9 1.1 :1140
3 1.1 :1141
3.1 1.1 :1142
3.2 1.1 :1143
3.3 1.1 :1144
3.4 1.1 :1145
3.5 1.1 :1146
3.6 1.1 :1147
3.7 1.1 :1148
3.8 1.1 :1149
3.9 1.1 :1150
4 1.1 :1151
4.1 1.1 :1152
4.2 1.1 :1153
4.3 1.1 :1154
4.4 1.1 :1155
4.5 1.1 :1156
4.6 1.1 :1157
4.7 1.1 :1158
4.8 1.1 :1159
4.9 1.1 :1160
5 1.1 :1161
5.1 1.1 :1162
5.2 1.1 :1163
5.3 1.1 :1164
5.4 1.1 :1165
5.5 1.1 :1166
5.6 1.1 :1167
5.7 1.1 :1168
5.8 1.1 :1169
5.9 1.1 :1170
6 1.1 :1171
6.1 1.1 :1172
6.2 1.1 :1173
6.3 1.1 :1174
6.4 1.1 :1175
6.5 1.1 :1176
6.6 1.1 :1177
6.7 1.1 :1178
6.8 1.1 :1179
6.9 1.1 :1180
7 1.1 :1181
7.1 1.1 :1182
7.2 1.1 :1183
7.3 1.1 :1184
7.4 1.1 :1185
7.5 1.1 :1186
7.6 1.1 :1187
7.7 1.1 :1188
7.8 1.1 :1189
7.9 1.1 :1190
8 1.1 :1191
8.1 1.1 :1192
8.2 1.1 :1193
8.3 1.1 :1194
8.4 1.1 :1195
8.5 1.1 :1196
8.6 1.1 :1197
8.7 1.1 :1198
8.8 1.1 :1199
8.9 1.1 :1200
9 1.1 :1201
9.1 1.1 :1202
9.2 1.1 :1203
9.3 1.1 :1204
9.4 1.1 :1205
9.5 1.1 :1206
9.6 1.1 :1207
9.7 1.1 :1208
9.8 1.1 :1209
9.9 1.1 :1210
10 1.1 :1211
X Y  Index
---------------------------------------------------
0 1.2 :1212
0.1 1.2 :1213
0.2 1.2 :1214
0.3 1.2 :1215
0.4 1.2 :1216
0.5 1.2 :1217
0.6 1.2 :1218
0.7 1.2 :1219
0.8 1.2 :1220
0.9 1.2 :1221
1 1.2 :1222
1.1 1.2 :1223
1.2 1.2 :1224
1.3 1.2 :1225
1.4 1.2 :1226
1.5 1.2 :1227
1.6 1.2 :1228
1.7 1.2 :1229
1.8 1.2 :1230
1.9 1.2 :1231
2 1.2 :1232
2.1 1.2 :1233
2.2 1.2 :1234
2.3 1.2 :1235
2.4 1.2 :1236
2.5 1.2 :1237
2.6 1.2 :1238
2.7 1.2 :1239
2.8 1.2 :1240
2.9 1.2 :1241
3 1.2 :1242
3.1 1.2 :1243
3.2 1.2 :1244
3.3 1.2 :1245
3.4 1.2 :1246
3.5 1.2 :1247
3.6 1.2 :1248
3.7 1.2 :1249
3.8 1.2 :1250
3.9 1.2 :1251
4 1.2 :1252
4.1 1.2 :1253
4.2 1.2 :1254
4.3 1.2 :1255
4.4 1.2 :1256
4.5 1.2 :1257
4.6 1.2 :1258
4.7 1.2 :1259
4.8 1.2 :1260
4.9 1.2 :1261
5 1.2 :1262
5.1 1.2 :1263
5.2 1.2 :1264
5.3 1.2 :1265
5.4 1.2 :1266
5.5 1.2 :1267
5.6 1.2 :1268
5.7 1.2 :1269
5.8 1.2 :1270
5.9 1.2 :1271
6 1.2 :1272
6.1 1.2 :1273
6.2 1.2 :1274
6.3 1.2 :1275
6.4 1.2 :1276
6.5 1.2 :1277
6.6 1.2 :1278
6.7 1.2 :1279
6.8 1.2 :1280
6.9 1.2 :1281
7 1.2 :1282
7.1 1.2 :1283
7.2 1.2 :1284
7.3 1.2 :1285
7.4 1.2 :1286
7.5 1.2 :1287
